"customer_id","aov","num_purchases","club_member_status","fashion_news_frequency","avg_age","Shoes & Socks","Blouses, Tops & Shirts","Hoodies & Outerwear","Skirts, Shorts & Tights","Swimwear","Trousers","Knitwear","T-shirts","Nightwear","Underwear","Accessories","Dresses, Jumpsuits & Sets"
60,0.0302090395480226,3,"ACTIVE","NONE",18,0,2,0,1,0,0,0,0,0,0,0,0
61,0.0169322033898305,2,"ACTIVE","NONE",67,0,0,0,0,0,0,0,2,0,0,0,0
62,0.0508305084745762,1,"ACTIVE","Regularly",21,0,0,0,0,0,1,0,0,0,0,0,0
63,0.0238967642526964,11,"ACTIVE","Regularly",24,1,1,2,0,2,4,0,0,0,0,0,1
64,0.0237118644067796,2,"ACTIVE","NONE",50,0,0,0,0,2,0,0,0,0,0,0,0
65,0.0254067796610169,5,"ACTIVE","Regularly",61,0,0,0,0,5,0,0,0,0,0,0,0
66,0.0423559322033898,1,"ACTIVE","NONE",34,0,0,0,0,0,0,0,0,0,1,0,0
67,0.0150508474576271,1,"ACTIVE","NONE",58,0,0,0,0,0,0,0,0,0,1,0,0
68,0.0135423728813559,1,"ACTIVE","NONE",30,1,0,0,0,0,0,0,0,0,0,0,0
69,0.0432033898305084,3,"ACTIVE","NONE",32,0,0,0,0,1,2,0,0,0,0,0,0
70,0.0193474576271186,4,"ACTIVE","Regularly",30,0,0,0,0,0,0,3,1,0,0,0,0
71,0.0143513097072419,22,"ACTIVE","NONE",46,2,1,2,0,0,1,4,7,0,1,4,0
72,0.0237118644067796,2,"ACTIVE","Regularly",50,0,0,0,0,0,1,0,1,0,0,0,0
73,0.0254067796610169,1,"ACTIVE","Regularly",54,0,0,0,0,0,0,0,0,0,0,0,1
74,0.0043898305084745,1,"ACTIVE","NONE",19,0,0,0,0,0,0,0,0,0,1,0,0
75,0.020322033898305,1,"ACTIVE","Regularly",54,0,0,0,0,0,0,0,0,0,1,0,0
76,0.0406610169491525,1,"PRE-CREATE","Regularly",45,0,0,0,0,0,0,1,0,0,0,0,0
77,0.0225839574300354,86,"ACTIVE","NONE",28,0,8,2,8,18,0,6,5,0,31,4,4
78,0.0254067796610169,2,"ACTIVE","NONE",21,0,0,0,0,0,1,0,0,0,1,0,0
79,0.0355762711864406,1,"ACTIVE","Regularly",37,0,0,1,0,0,0,0,0,0,0,0,0
80,0.0295670261941448,11,"ACTIVE","NONE",52,0,3,0,0,2,4,0,0,0,2,0,0
81,0.0368813559322034,2,"ACTIVE","NONE",23,0,1,0,0,0,1,0,0,0,0,0,0
82,0.0254067796610169,2,"ACTIVE","Regularly",22,0,0,0,0,1,1,0,0,0,0,0,0
83,0.0202316384180791,6,"ACTIVE","Regularly",20,0,0,0,1,3,0,0,0,1,1,0,0
84,0.0304915254237288,1,"ACTIVE","NONE",41,0,0,0,0,0,1,0,0,0,0,0,0
85,0.0338813559322033,1,"ACTIVE","NONE",24,0,0,0,0,0,1,0,0,0,0,0,0
86,0.0320974576271186,4,"ACTIVE","Regularly",48,0,1,0,0,0,1,1,0,0,0,0,1
87,0.0067627118644067,1,"ACTIVE","Regularly",71,0,1,0,0,0,0,0,0,0,0,0,0
88,0.0179491525423729,2,"ACTIVE","Regularly",19,0,0,1,0,1,0,0,0,0,0,0,0
89,0.008457627118644,1,"ACTIVE","Regularly",37,0,0,0,0,0,0,0,1,0,0,0,0
90,0.0271016949152542,6,"ACTIVE","NONE",46,0,0,0,0,0,2,2,1,0,0,1,0
91,0.0482881355932203,2,"ACTIVE","Regularly",21,0,0,1,0,0,1,0,0,0,0,0,0
92,0.0116949152542372,3,"ACTIVE","NONE",18,0,0,1,0,0,0,0,1,0,1,0,0
93,0.0385141242937853,3,"ACTIVE","Regularly",27,0,1,0,0,0,0,1,0,0,0,0,1
94,0.0279491525423728,2,"ACTIVE","NONE",26,0,0,0,0,0,0,0,0,0,0,0,2
95,0.0169322033898305,1,"ACTIVE","NONE",22,1,0,0,0,0,0,0,0,0,0,0,0
96,0.0101525423728813,2,"ACTIVE","Regularly",54,0,0,0,0,2,0,0,0,0,0,0,0
97,0.0254067796610169,1,"ACTIVE","NONE",48,0,0,0,0,0,0,0,0,0,1,0,0
98,0.0200593220338982,2,"ACTIVE","Regularly",49,0,0,0,0,0,1,0,1,0,0,0,0
99,0.0677796610169491,6,"ACTIVE","Regularly",23,0,0,2,0,0,0,1,0,0,0,1,2
100,0.0189661016949152,2,"ACTIVE","Regularly",20,0,1,1,0,0,0,0,0,0,0,0,0
101,0.0338813559322033,2,"ACTIVE","NONE",28,0,0,0,0,0,2,0,0,0,0,0,0
102,0.0307401129943503,3,"ACTIVE","Regularly",29,2,0,0,0,0,0,0,0,0,0,1,0
103,0.0395254237288135,1,"ACTIVE","Regularly",70,0,0,0,0,0,0,0,0,0,0,0,1
104,0.0170254237288135,6,"ACTIVE","Regularly",25,1,1,2,0,1,0,0,0,0,1,0,0
105,0.0338813559322033,1,"ACTIVE","NONE",51,0,0,0,0,0,1,0,0,0,0,0,0
106,0.0338813559322033,1,"ACTIVE","NONE",31,0,0,1,0,0,0,0,0,0,0,0,0
107,0.0114237288135592,2,"ACTIVE","Regularly",73,0,0,0,0,0,0,0,2,0,0,0,0
108,0.0222966101694915,4,"ACTIVE","NONE",31,1,0,0,0,0,0,0,2,0,0,0,1
109,0.008457627118644,1,"PRE-CREATE","NONE",43,0,0,0,0,0,0,0,0,0,0,1,0
110,0.0451807909604519,3,"ACTIVE","Regularly",42,0,0,0,0,0,2,0,0,0,0,0,1
111,0.0265819209039547,3,"ACTIVE","NONE",50,0,0,0,0,2,0,1,0,0,0,0,0
112,0.0254067796610169,2,"ACTIVE","NONE",22,0,0,0,0,0,0,2,0,0,0,0,0
113,0.0169355932203389,5,"ACTIVE","NONE",51,0,0,0,4,0,0,1,0,0,0,0,0
114,0.0222344632768361,6,"ACTIVE","Regularly",32,0,2,0,0,0,3,0,0,0,0,1,0
115,0.0720169491525424,2,"ACTIVE","NONE",49,0,0,1,0,0,0,1,0,0,0,0,0
116,0.0220169491525423,1,"ACTIVE","NONE",45,0,0,0,0,1,0,0,0,0,0,0,0
117,0.0220169491525424,4,"ACTIVE","Regularly",44,0,2,0,0,0,2,0,0,0,0,0,0
118,0.0304915254237288,1,"ACTIVE","Regularly",64,0,0,0,0,0,0,1,0,0,0,0,0
119,0.0310640301318267,9,"ACTIVE","Regularly",33,0,0,0,1,0,2,1,3,0,0,0,2
120,0.0254067796610169,1,"ACTIVE","Regularly",20,0,0,0,0,0,0,0,0,0,0,1,0
121,0.0406610169491525,1,"ACTIVE","Regularly",31,0,0,0,0,0,1,0,0,0,0,0,0
122,0.0304915254237288,1,"ACTIVE","Regularly",18,0,0,0,0,0,0,1,0,0,0,0,0
123,0.008457627118644,1,"ACTIVE","Regularly",23,0,0,0,0,0,0,0,1,0,0,0,0
124,0.0197570621468926,3,"ACTIVE","NONE",26,0,0,0,0,3,0,0,0,0,0,0,0
125,0.0423559322033898,1,"ACTIVE","NONE",21,0,0,0,0,0,0,1,0,0,0,0,0
126,0.0279830508474576,2,"ACTIVE","NONE",38,0,0,0,1,0,0,1,0,0,0,0,0
127,0.0135423728813559,1,"ACTIVE","Regularly",21,0,0,0,0,0,0,0,0,0,0,1,0
128,0.0279491525423728,4,"ACTIVE","NONE",47,0,0,0,0,4,0,0,0,0,0,0,0
129,0.0127514124293785,3,"ACTIVE","Regularly",37,0,0,0,1,0,1,0,0,0,1,0,0
130,0.0338813559322033,1,"ACTIVE","NONE",30,0,1,0,0,0,0,0,0,0,0,0,0
131,0.0254067796610169,2,"ACTIVE","Regularly",23,2,0,0,0,0,0,0,0,0,0,0,0
132,0.0169322033898305,1,"ACTIVE","NONE",65,0,0,0,0,0,0,1,0,0,0,0,0
133,0.021412429378531,3,"ACTIVE","Regularly",43,0,1,1,0,0,0,0,0,0,1,0,0
134,0.0294745762711864,4,"ACTIVE","Regularly",57,0,0,0,1,0,2,0,0,0,0,0,1
135,0.0296440677966101,2,"ACTIVE","NONE",44,0,1,0,1,0,0,0,0,0,0,0,0
136,0.0508305084745762,1,"ACTIVE","Regularly",55,0,0,0,0,0,1,0,0,0,0,0,0
137,0.0143898305084745,1,"ACTIVE","NONE",52,0,0,0,0,0,0,0,0,0,1,0,0
138,0.0236271186440677,4,"ACTIVE","NONE",48,0,0,0,0,4,0,0,0,0,0,0,0
139,0.0271016949152542,6,"ACTIVE","NONE",25,0,1,0,1,3,1,0,0,0,0,0,0
140,0.0101525423728813,1,"ACTIVE","Regularly",70,0,0,0,1,0,0,0,0,0,0,0,0
141,0.0271016949152542,1,"ACTIVE","Regularly",53,0,0,0,0,0,1,0,0,0,0,0,0
142,0.0332033898305084,5,"ACTIVE","Regularly",43,0,0,4,1,0,0,0,0,0,0,0,0
143,0.0338813559322033,1,"ACTIVE","Regularly",53,0,1,0,0,0,0,0,0,0,0,0,0
144,0.0120813559322033,5,"ACTIVE","NONE",24,0,1,0,4,0,0,0,0,0,0,0,0
145,0.0254067796610169,1,"ACTIVE","Regularly",32,0,0,0,0,1,0,0,0,0,0,0,0
146,0.0145762711864406,2,"ACTIVE","Regularly",25,0,0,1,0,0,0,0,0,0,0,1,0
147,0.0152372881355932,4,"ACTIVE","Regularly",22,0,2,0,0,1,0,1,0,0,0,0,0
148,0.0152372881355932,1,"ACTIVE","NONE",17,0,0,0,0,0,0,0,0,0,1,0,0
149,0.0146779661016949,1,"ACTIVE","Regularly",46,0,0,0,1,0,0,0,0,0,0,0,0
150,0.008457627118644,3,"ACTIVE","Regularly",56,0,0,0,0,0,0,0,3,0,0,0,0
151,0.0215317796610169,8,"ACTIVE","NONE",19,0,0,1,1,4,2,0,0,0,0,0,0
152,0.0169322033898305,1,"ACTIVE","Regularly",22,0,0,0,0,0,0,0,1,0,0,0,0
153,0.0319322033898305,1,"ACTIVE","Regularly",52,0,0,0,0,0,0,1,0,0,0,0,0
154,0.0175819209039548,3,"ACTIVE","NONE",51,0,1,0,1,0,0,0,0,0,1,0,0
155,0.022864406779661,1,"ACTIVE","NONE",51,0,1,0,0,0,0,0,0,0,0,0,0
156,0.028231638418079,3,"ACTIVE","NONE",23,0,1,0,0,0,2,0,0,0,0,0,0
157,0.013412429378531,6,"ACTIVE","NONE",36,0,1,3,1,0,0,1,0,0,0,0,0
158,0.0381186440677966,1,"ACTIVE","Regularly",21,0,0,0,0,0,0,0,0,0,1,0,0
159,0.0331016949152542,1,"ACTIVE","NONE",43,0,0,0,0,0,1,0,0,0,0,0,0
160,0.0372711864406779,5,"ACTIVE","Regularly",34,0,0,1,0,2,0,2,0,0,0,0,0
161,0.0211694915254237,2,"ACTIVE","NONE",22,0,0,0,0,0,0,2,0,0,0,0,0
162,0.0182881355932203,2,"ACTIVE","NONE",50,0,0,0,0,2,0,0,0,0,0,0,0
163,0.0101525423728813,1,"ACTIVE","NONE",22,1,0,0,0,0,0,0,0,0,0,0,0
164,0.0338813559322033,1,"ACTIVE","Regularly",55,0,0,0,0,0,0,0,0,0,0,0,1
165,0.0237118644067797,2,"ACTIVE","NONE",23,0,0,0,0,0,0,0,0,0,2,0,0
166,0.016912429378531,6,"ACTIVE","Regularly",20,1,1,2,0,0,1,0,0,0,1,0,0
167,0.0108305084745762,1,"ACTIVE","NONE",24,0,0,0,0,0,0,0,1,0,0,0,0
168,0.0160847457627118,2,"ACTIVE","NONE",49,0,0,0,0,2,0,0,0,0,0,0,0
169,0.0237118644067796,2,"ACTIVE","NONE",24,0,0,0,0,0,0,0,0,0,1,0,1
170,0.0169322033898305,1,"ACTIVE","Regularly",50,0,0,0,0,0,0,0,0,1,0,0,0
171,0.022864406779661,2,"ACTIVE","Regularly",28,0,0,0,0,0,0,1,0,0,1,0,0
172,0.0338813559322033,1,"ACTIVE","NONE",23,0,1,0,0,0,0,0,0,0,0,0,0
173,0.0207457627118643,2,"ACTIVE","Regularly",73,0,1,0,0,0,0,1,0,0,0,0,0
174,0.0590423728813559,4,"ACTIVE","Regularly",68,0,0,0,0,0,1,0,0,0,0,0,3
175,0.0220169491525423,1,"ACTIVE","Regularly",21,0,0,0,0,1,0,0,0,0,0,0,0
176,0.0152372881355932,1,"ACTIVE","NONE",33,0,0,0,1,0,0,0,0,0,0,0,0
177,0.0152372881355932,2,"ACTIVE","NONE",23,0,0,0,1,1,0,0,0,0,0,0,0
178,0.0217344632768361,6,"ACTIVE","Regularly",22,0,0,0,0,3,1,0,1,0,1,0,0
179,0.0132090395480226,3,"ACTIVE","Regularly",54,0,0,0,0,1,0,0,1,1,0,0,0
180,0.0343436055469953,11,"ACTIVE","Regularly",51,0,0,0,1,0,6,0,0,0,0,0,4
181,0.0296864406779661,4,"ACTIVE","Regularly",18,1,0,0,0,0,3,0,0,0,0,0,0
182,0.0169322033898305,1,"ACTIVE","Regularly",50,0,1,0,0,0,0,0,0,0,0,0,0
183,0.0338813559322033,1,"ACTIVE","NONE",50,0,0,0,0,0,0,0,0,0,0,0,1
184,0.0135423728813559,1,"ACTIVE","NONE",19,0,0,0,0,0,0,0,1,0,0,0,0
185,0.0423559322033898,1,"ACTIVE","NONE",50,0,0,0,0,0,0,1,0,0,0,0,0
186,0.0300056497175141,3,"ACTIVE","Regularly",22,0,0,1,0,0,2,0,0,0,0,0,0
187,0.0203728813559322,8,"ACTIVE","Regularly",27,0,0,0,1,3,0,1,2,0,1,0,0
188,0.0338813559322033,1,"ACTIVE","Regularly",20,0,0,1,0,0,0,0,0,0,0,0,0
189,0.011,2,"ACTIVE","Regularly",45,0,0,1,0,0,0,0,1,0,0,0,0
190,0.0338813559322033,3,"ACTIVE","Regularly",23,0,0,0,0,0,0,3,0,0,0,0,0
191,0.0176101694915254,1,"ACTIVE","NONE",51,0,0,0,0,1,0,0,0,0,0,0,0
192,0.0194745762711864,4,"ACTIVE","NONE",22,0,1,0,1,0,1,0,1,0,0,0,0
193,0.046593220338983,2,"ACTIVE","NONE",43,0,0,0,0,0,2,0,0,0,0,0,0
194,0.0271016949152542,1,"ACTIVE","Regularly",27,0,0,0,0,0,1,0,0,0,0,0,0
195,0.0271016949152542,2,"ACTIVE","Regularly",21,0,0,0,0,0,2,0,0,0,0,0,0
196,0.0232881355932203,4,"ACTIVE","NONE",31,0,0,0,1,0,1,0,2,0,0,0,0
197,0.022864406779661,1,"ACTIVE","Regularly",51,0,0,0,0,0,0,0,0,0,0,0,1
198,0.0067627118644067,1,"ACTIVE","NONE",22,0,0,1,0,0,0,0,0,0,0,0,0
199,0.0144237288135593,1,"ACTIVE","NONE",29,0,0,0,0,0,0,0,0,1,0,0,0
200,0.0423559322033898,1,"ACTIVE","NONE",20,0,0,0,0,0,0,1,0,0,0,0,0
201,0.0253525423728813,15,"ACTIVE","Regularly",59,0,2,4,1,0,2,1,1,1,0,0,3
202,0.0327514124293785,3,"ACTIVE","NONE",30,0,0,0,0,0,1,1,0,1,0,0,0
203,0.0169322033898305,1,"ACTIVE","NONE",21,0,0,0,0,0,0,0,1,0,0,0,0
204,0.0132542372881355,1,"ACTIVE","NONE",36,1,0,0,0,0,0,0,0,0,0,0,0
205,0.0254067796610169,3,"ACTIVE","NONE",18,0,0,0,0,0,1,2,0,0,0,0,0
206,0.0152372881355932,3,"ACTIVE","NONE",25,0,0,0,0,0,0,2,0,0,0,1,0
207,0.0277796610169491,5,"ACTIVE","NONE",26,0,0,1,0,2,1,1,0,0,0,0,0
208,0.0152372881355932,10,"ACTIVE","NONE",26,0,0,10,0,0,0,0,0,0,0,0,0
209,0.0304915254237288,2,"ACTIVE","Regularly",24,0,0,0,0,0,2,0,0,0,0,0,0
210,0.101677966101695,1,"ACTIVE","NONE",24,0,0,1,0,0,0,0,0,0,0,0,0
211,0.00792655367231633,3,"ACTIVE","Regularly",26,1,0,0,1,0,0,0,0,0,0,1,0
212,0.0381186440677966,2,"ACTIVE","Regularly",66,0,0,0,0,0,1,0,0,0,0,0,1
213,0.0143474576271186,4,"ACTIVE","NONE",45,0,0,3,0,0,0,0,0,0,1,0,0
214,0.0423559322033897,2,"ACTIVE","Regularly",32,0,0,0,0,0,1,1,0,0,0,0,0
215,0.0152372881355932,3,"ACTIVE","NONE",31,0,0,0,0,0,1,0,1,0,0,1,0
216,0.0152372881355932,2,"ACTIVE","Regularly",24,0,1,0,0,0,0,0,1,0,0,0,0
217,0.0254067796610169,3,"ACTIVE","Regularly",20,0,1,0,0,0,0,0,0,0,1,1,0
218,0.0129152542372881,1,"ACTIVE","Regularly",22,0,0,0,0,0,0,0,1,0,0,0,0
219,0.0121864406779661,1,"ACTIVE","Regularly",54,0,0,0,0,0,0,0,1,0,0,0,0
220,0.038,2,"ACTIVE","NONE",26,0,0,0,1,0,0,1,0,0,0,0,0
221,0.011,2,"ACTIVE","Regularly",25,0,0,0,1,0,1,0,0,0,0,0,0
222,0.0169322033898305,1,"ACTIVE","Regularly",23,0,0,1,0,0,0,0,0,0,0,0,0
223,0.0169322033898305,1,"ACTIVE","NONE",20,0,0,0,0,0,0,0,0,0,1,0,0
224,0.075114406779661,4,"ACTIVE","NONE",38,0,0,3,0,0,0,0,0,0,1,0,0
225,0.0211694915254237,2,"ACTIVE","NONE",22,0,0,0,0,1,0,0,0,0,1,0,0
226,0.0067627118644067,1,"ACTIVE","NONE",27,0,0,0,0,0,0,0,0,0,0,1,0
227,0.0155197740112994,3,"ACTIVE","NONE",28,0,1,0,0,0,0,1,1,0,0,0,0
228,0.0346525423728813,2,"ACTIVE","NONE",34,0,0,1,0,0,1,0,0,0,0,0,0
229,0.0236483050847457,4,"ACTIVE","NONE",25,0,2,0,0,0,0,0,0,0,2,0,0
230,0.0461059322033898,4,"ACTIVE","Regularly",26,0,0,1,0,0,1,1,0,0,0,0,1
231,0.0338813559322033,1,"ACTIVE","NONE",45,0,0,0,0,0,1,0,0,0,0,0,0
232,0.0508305084745762,3,"ACTIVE","NONE",35,0,0,0,0,0,3,0,0,0,0,0,0
233,0.0158022598870056,3,"ACTIVE","NONE",74,1,0,0,0,0,0,1,1,0,0,0,0
234,0.0254067796610169,1,"PRE-CREATE","NONE",49,0,0,1,0,0,0,0,0,0,0,0,0
235,0.0296440677966101,2,"ACTIVE","NONE",23,0,0,0,1,0,0,1,0,0,0,0,0
236,0.0338813559322033,2,"ACTIVE","NONE",26,0,0,0,0,0,2,0,0,0,0,0,0
237,0.023231638418079,6,"ACTIVE","Regularly",28,0,0,0,0,0,1,1,2,1,1,0,0
238,0.0254067796610169,1,"ACTIVE","NONE",21,0,1,0,0,0,0,0,0,0,0,0,0
239,0.0359999999999999,4,"ACTIVE","NONE",32,0,0,2,0,0,0,0,1,0,0,0,1
240,0.0067627118644067,1,"ACTIVE","NONE",17,0,0,1,0,0,0,0,0,0,0,0,0
241,0.0146723163841808,3,"ACTIVE","NONE",28,3,0,0,0,0,0,0,0,0,0,0,0
242,0.0245254237288135,1,"ACTIVE","Regularly",55,0,0,0,0,0,0,1,0,0,0,0,0
243,0.0194745762711864,2,"ACTIVE","NONE",20,0,0,0,0,1,0,0,1,0,0,0,0
244,0.0338813559322033,1,"ACTIVE","Regularly",22,0,0,1,0,0,0,0,0,0,0,0,0
245,0.0242768361581921,6,"ACTIVE","NONE",47,0,0,1,0,4,0,0,0,1,0,0,0
246,0.0423559322033898,1,"ACTIVE","NONE",34,0,0,0,0,0,0,1,0,0,0,0,0
247,0.0220169491525423,1,"ACTIVE","NONE",25,0,0,0,0,0,0,0,0,0,0,0,1
248,0.0287966101694915,1,"ACTIVE","Regularly",22,0,0,0,0,0,0,1,0,0,0,0,0
249,0.0196372881355932,5,"ACTIVE","NONE",56,0,2,1,0,0,0,2,0,0,0,0,0
250,0.0220790960451977,3,"ACTIVE","Regularly",20,0,0,0,1,0,0,0,1,0,1,0,0
251,0.0196271186440678,3,"ACTIVE","Regularly",36,0,0,0,0,0,0,2,0,0,0,1,0
252,0.0045593220338983,1,"ACTIVE","NONE",19,0,0,0,0,0,0,0,0,0,0,1,0
253,0.0135423728813559,2,"ACTIVE","NONE",29,0,0,0,0,0,1,0,1,0,0,0,0
254,0.0254067796610169,3,"ACTIVE","NONE",23,0,2,0,0,0,0,0,0,0,1,0,0
255,0.0338813559322034,4,"ACTIVE","Regularly",30,0,0,0,0,0,2,0,2,0,0,0,0
256,0.0381186440677966,2,"ACTIVE","NONE",53,0,0,0,0,0,2,0,0,0,0,0,0
257,0.024728813559322,2,"ACTIVE","NONE",36,0,0,0,0,0,0,1,0,0,0,0,1
258,0.0220169491525423,2,"ACTIVE","NONE",55,0,0,0,0,2,0,0,0,0,0,0,0
259,0.0169322033898305,1,"ACTIVE","NONE",19,0,0,0,0,1,0,0,0,0,0,0,0
260,0.0169322033898305,1,"ACTIVE","NONE",29,0,0,1,0,0,0,0,0,0,0,0,0
261,0.0186271186440678,3,"ACTIVE","Regularly",22,1,0,0,0,1,0,0,0,0,1,0,0
262,0.0227062146892655,3,"ACTIVE","Regularly",22,0,0,0,0,3,0,0,0,0,0,0,0
263,0.0423559322033898,1,"ACTIVE","NONE",37,0,0,0,0,0,0,0,0,0,0,0,1
264,0.0338813559322033,1,"ACTIVE","Regularly",49,0,0,0,0,0,1,0,0,0,0,0,0
265,0.0261807909604519,6,"ACTIVE","Regularly",29,0,0,0,0,5,1,0,0,0,0,0,0
266,0.0387203389830508,2,"ACTIVE","NONE",51,0,0,0,0,0,2,0,0,0,0,0,0
267,0.0310564971751412,3,"ACTIVE","NONE",38,0,0,0,0,0,0,3,0,0,0,0,0
